Source;Target;Type
3;0;Undirected
4;1;Undirected
5;4;Undirected
7;3;Undirected
8;6;Undirected
8;2;Undirected
9;3;Undirected
9;4;Undirected
11;5;Undirected
11;0;Undirected
12;8;Undirected
12;9;Undirected
13;3;Undirected
14;13;Undirected
15;6;Undirected
15;7;Undirected
16;5;Undirected
18;8;Undirected
19;11;Undirected
19;2;Undirected
20;18;Undirected
21;5;Undirected
21;18;Undirected
22;20;Undirected
23;18;Undirected
23;6;Undirected
24;5;Undirected
24;13;Undirected
26;20;Undirected
28;5;Undirected
29;19;Undirected
29;17;Undirected
30;11;Undirected
30;10;Undirected
31;22;Undirected
32;1;Undirected
32;10;Undirected
33;3;Undirected
33;17;Undirected
34;29;Undirected
34;5;Undirected
35;3;Undirected
35;4;Undirected
37;17;Undirected
39;9;Undirected
39;26;Undirected
40;28;Undirected
40;10;Undirected
41;8;Undirected
41;26;Undirected
42;8;Undirected
42;3;Undirected
43;9;Undirected
44;21;Undirected
45;15;Undirected
45;23;Undirected
46;24;Undirected
47;1;Undirected
47;46;Undirected
48;23;Undirected
48;8;Undirected
49;2;Undirected
49;40;Undirected
50;2;Undirected
51;12;Undirected
53;49;Undirected
54;33;Undirected
54;5;Undirected
56;6;Undirected
57;18;Undirected
57;29;Undirected
58;18;Undirected
58;1;Undirected
59;45;Undirected
59;48;Undirected
60;23;Undirected
60;0;Undirected
61;24;Undirected
61;7;Undirected
62;0;Undirected
62;36;Undirected
63;33;Undirected
64;48;Undirected
65;53;Undirected
65;44;Undirected
66;47;Undirected
67;15;Undirected
68;26;Undirected
69;52;Undirected
69;32;Undirected
71;50;Undirected
71;48;Undirected
72;58;Undirected
73;8;Undirected
74;54;Undirected
74;23;Undirected
76;21;Undirected
76;45;Undirected
77;58;Undirected
78;29;Undirected
78;26;Undirected
80;23;Undirected
80;15;Undirected
81;17;Undirected
81;70;Undirected
82;48;Undirected
82;78;Undirected
83;34;Undirected
84;19;Undirected
85;63;Undirected
85;80;Undirected
86;70;Undirected
87;21;Undirected
87;46;Undirected
88;84;Undirected
89;46;Undirected
89;40;Undirected
90;55;Undirected
90;72;Undirected
91;59;Undirected
91;85;Undirected
92;44;Undirected
92;2;Undirected
94;9;Undirected
95;78;Undirected
95;83;Undirected
96;71;Undirected
96;86;Undirected
97;96;Undirected
97;19;Undirected
98;72;Undirected
98;65;Undirected
99;58;Undirected
99;71;Undirected
100;28;Undirected
100;3;Undirected
101;98;Undirected
102;32;Undirected
103;18;Undirected
104;89;Undirected
104;53;Undirected
105;1;Undirected
105;45;Undirected
106;55;Undirected
106;13;Undirected
107;8;Undirected
107;48;Undirected
108;4;Undirected
109;66;Undirected
110;69;Undirected
110;10;Undirected
111;61;Undirected
112;97;Undirected
113;61;Undirected
113;97;Undirected
114;61;Undirected
114;108;Undirected
115;4;Undirected
116;25;Undirected
117;5;Undirected
118;109;Undirected
118;98;Undirected
119;19;Undirected
119;115;Undirected
120;13;Undirected
120;52;Undirected
121;48;Undirected
122;80;Undirected
124;88;Undirected
124;26;Undirected
125;48;Undirected
126;12;Undirected
126;66;Undirected
127;81;Undirected
127;106;Undirected
128;43;Undirected
129;55;Undirected
129;61;Undirected
130;81;Undirected
131;14;Undirected
132;107;Undirected
132;129;Undirected
133;49;Undirected
133;82;Undirected
134;67;Undirected
134;49;Undirected
135;76;Undirected
136;59;Undirected
136;102;Undirected
137;32;Undirected
138;7;Undirected
138;33;Undirected
139;116;Undirected
140;7;Undirected
140;38;Undirected
141;22;Undirected
141;9;Undirected
142;113;Undirected
143;61;Undirected
143;63;Undirected
144;64;Undirected
144;4;Undirected
145;116;Undirected
146;78;Undirected
146;39;Undirected
147;134;Undirected
148;22;Undirected
149;20;Undirected
150;22;Undirected
150;96;Undirected
151;45;Undirected
152;121;Undirected
152;127;Undirected
153;124;Undirected
153;58;Undirected
154;81;Undirected
154;106;Undirected
155;4;Undirected
157;11;Undirected
157;113;Undirected
158;125;Undirected
158;113;Undirected
159;98;Undirected
159;132;Undirected
160;103;Undirected
161;74;Undirected
161;36;Undirected
162;150;Undirected
162;97;Undirected
163;85;Undirected
163;72;Undirected
164;2;Undirected
164;122;Undirected
165;145;Undirected
165;143;Undirected
166;60;Undirected
166;113;Undirected
167;101;Undirected
168;52;Undirected
168;152;Undirected
169;162;Undirected
169;126;Undirected
170;109;Undirected
170;86;Undirected
171;15;Undirected
172;87;Undirected
172;20;Undirected
173;169;Undirected
174;33;Undirected
174;162;Undirected
175;109;Undirected
176;25;Undirected
176;86;Undirected
177;74;Undirected
178;3;Undirected
178;152;Undirected
179;71;Undirected
180;69;Undirected
180;46;Undirected
181;11;Undirected
181;59;Undirected
182;76;Undirected
182;172;Undirected
183;137;Undirected
183;36;Undirected
184;168;Undirected
185;116;Undirected
186;89;Undirected
186;15;Undirected
188;149;Undirected
190;25;Undirected
190;32;Undirected
191;95;Undirected
191;31;Undirected
192;82;Undirected
192;90;Undirected
193;117;Undirected
193;191;Undirected
194;129;Undirected
194;104;Undirected
195;140;Undirected
196;56;Undirected
197;17;Undirected
197;29;Undirected
198;153;Undirected
198;179;Undirected
199;172;Undirected
