Source;Target;Type
1;0;Undirected
4;1;Undirected
5;4;Undirected
7;4;Undirected
8;2;Undirected
9;0;Undirected
10;3;Undirected
10;7;Undirected
11;7;Undirected
12;1;Undirected
12;7;Undirected
13;10;Undirected
14;0;Undirected
15;2;Undirected
18;2;Undirected
19;14;Undirected
20;4;Undirected
20;13;Undirected
22;0;Undirected
22;7;Undirected
23;13;Undirected
25;12;Undirected
27;26;Undirected
29;0;Undirected
30;6;Undirected
33;0;Undirected
33;10;Undirected
33;32;Undirected
34;25;Undirected
36;0;Undirected
36;23;Undirected
36;26;Undirected
37;2;Undirected
37;12;Undirected
37;24;Undirected
38;4;Undirected
38;10;Undirected
38;37;Undirected
39;31;Undirected
40;31;Undirected
41;17;Undirected
41;23;Undirected
41;28;Undirected
41;33;Undirected
42;10;Undirected
42;22;Undirected
43;1;Undirected
43;14;Undirected
43;23;Undirected
44;21;Undirected
44;30;Undirected
44;37;Undirected
45;2;Undirected
45;16;Undirected
46;18;Undirected
46;24;Undirected
48;39;Undirected
49;27;Undirected
49;35;Undirected
50;26;Undirected
51;23;Undirected
51;47;Undirected
52;8;Undirected
54;17;Undirected
54;36;Undirected
54;49;Undirected
54;51;Undirected
55;4;Undirected
56;37;Undirected
57;53;Undirected
58;28;Undirected
59;8;Undirected
59;20;Undirected
59;38;Undirected
59;39;Undirected
62;1;Undirected
63;13;Undirected
64;1;Undirected
65;28;Undirected
66;51;Undirected
66;62;Undirected
68;38;Undirected
68;67;Undirected
69;28;Undirected
70;2;Undirected
70;49;Undirected
70;60;Undirected
72;7;Undirected
74;2;Undirected
77;33;Undirected
79;33;Undirected
79;51;Undirected
80;61;Undirected
80;76;Undirected
81;61;Undirected
81;78;Undirected
82;21;Undirected
84;8;Undirected
84;44;Undirected
85;23;Undirected
85;51;Undirected
85;75;Undirected
85;83;Undirected
86;42;Undirected
88;30;Undirected
90;73;Undirected
91;42;Undirected
91;71;Undirected
94;0;Undirected
94;87;Undirected
95;33;Undirected
96;23;Undirected
96;35;Undirected
97;92;Undirected
99;45;Undirected
99;89;Undirected
100;77;Undirected
101;51;Undirected
103;47;Undirected
104;51;Undirected
105;101;Undirected
106;59;Undirected
106;73;Undirected
107;8;Undirected
107;98;Undirected
108;41;Undirected
108;52;Undirected
108;76;Undirected
109;26;Undirected
110;52;Undirected
110;59;Undirected
111;26;Undirected
112;33;Undirected
112;81;Undirected
113;13;Undirected
113;102;Undirected
114;111;Undirected
115;2;Undirected
115;93;Undirected
116;36;Undirected
118;117;Undirected
120;31;Undirected
120;119;Undirected
121;0;Undirected
122;80;Undirected
123;85;Undirected
124;22;Undirected
124;33;Undirected
126;13;Undirected
129;2;Undirected
130;70;Undirected
131;125;Undirected
132;2;Undirected
133;0;Undirected
133;13;Undirected
133;24;Undirected
133;54;Undirected
133;127;Undirected
134;101;Undirected
134;128;Undirected
135;93;Undirected
136;4;Undirected
136;20;Undirected
137;72;Undirected
137;103;Undirected
138;112;Undirected
140;10;Undirected
143;23;Undirected
144;33;Undirected
144;141;Undirected
147;32;Undirected
148;54;Undirected
148;64;Undirected
150;100;Undirected
151;41;Undirected
152;51;Undirected
152;145;Undirected
153;16;Undirected
154;37;Undirected
154;137;Undirected
155;18;Undirected
156;146;Undirected
157;10;Undirected
157;41;Undirected
158;28;Undirected
158;53;Undirected
158;149;Undirected
159;26;Undirected
160;2;Undirected
160;139;Undirected
162;142;Undirected
163;127;Undirected
166;161;Undirected
168;167;Undirected
169;165;Undirected
170;16;Undirected
170;96;Undirected
171;94;Undirected
172;31;Undirected
173;41;Undirected
173;109;Undirected
174;79;Undirected
174;122;Undirected
175;164;Undirected
176;28;Undirected
176;41;Undirected
176;164;Undirected
178;100;Undirected
179;142;Undirected
179;147;Undirected
180;21;Undirected
181;7;Undirected
181;52;Undirected
181;169;Undirected
182;51;Undirected
183;93;Undirected
183;160;Undirected
184;38;Undirected
184;177;Undirected
185;13;Undirected
186;71;Undirected
187;89;Undirected
187;158;Undirected
189;10;Undirected
189;38;Undirected
191;96;Undirected
192;11;Undirected
192;63;Undirected
192;109;Undirected
193;26;Undirected
194;190;Undirected
196;148;Undirected
197;8;Undirected
197;86;Undirected
198;30;Undirected
